cohort,specimen,drug_class,n_empiric,n_exposed,n_unexposed,failure_exposed_pct,failure_unexposed_pct,risk_diff_pp,p_value,significant
MIMIC-IV,Urine,FQ,4561,679,3882,62.6,25.3,37.3,0.0,True
MIMIC-IV,Urine,Ceph3,8589,1575,7014,16.3,4.6,11.7,0.0,True
MIMIC-IV,Urine,Carb,805,312,493,7.4,2.2,5.1,0.000799,True
MIMIC-IV,Urine,Glyco,1160,400,760,70.8,16.8,53.9,0.0,True
MIMIC-IV,Urine,ESP,1544,294,1250,58.5,35.3,23.2,0.0,True
MIMIC-IV,Urine,Amino,152,32,120,15.6,4.2,11.5,0.054628,False
MGB,Urine,FQ,4013,649,3364,58.9,36.8,22.1,0.0,True
MGB,Urine,Ceph3,18284,3548,14736,12.0,4.0,8.0,0.0,True
MGB,Urine,Carb,1411,498,913,4.6,2.2,2.4,0.017622,True
MGB,Urine,Glyco,475,136,339,50.0,16.5,33.5,0.0,True
MGB,Urine,ESP,2217,507,1710,25.2,26.5,-1.2,0.615517,False
MGB,Urine,Amino,370,25,345,4.0,0.9,3.1,0.244985,False
Stanford,Urine,FQ,8285,1152,7133,31.1,14.6,16.5,0.0,True
Stanford,Urine,Ceph3,1076,55,1021,10.9,6.7,4.2,0.34751,False
Stanford,Urine,Carb,31,5,26,0.0,0.0,0.0,,False
Stanford,Urine,Glyco,98,17,81,52.9,12.3,40.6,0.000445,True
Stanford,Urine,ESP,1124,24,1100,20.8,6.8,14.0,0.025061,True
Stanford,Urine,Amino,245,58,187,3.4,0.5,2.9,0.140419,False
