cohort,label,theta_pp,ci_lo,ci_hi,p_val,se,n,n_treated,method,ps_treated,ps_control,max_smd_after,balanced
MGB,FQ,15.024,14.331,15.717,0.0,0.354,145445,24096,,,,,
MGB,FQ,14.931,14.19,15.732,0.005,0.394,145445,24096,IPTW,0.242,0.15,0.15,False
MGB,Ceph3,5.083,4.565,5.6,0.0,0.264,120126,40225,,,,,
MGB,Ceph3,6.413,5.905,6.942,0.005,0.264,120126,40225,IPTW,0.549,0.227,0.356,False
MGB,Carb/CRE,4.956,4.172,5.74,0.0,0.4,108508,7620,,,,,
MGB,Carb/CRE,5.602,4.705,6.554,0.005,0.466,108508,7620,IPTW,0.313,0.056,0.753,False
MGB,Glyco/VRE,4.6,4.077,5.122,0.0,0.267,41836,16989,,,,,
MGB,Glyco/VRE,5.602,5.093,6.226,0.005,0.292,41836,16989,IPTW,0.518,0.329,0.291,False
MGB,Sulfa,15.332,14.514,16.15,0.0,0.417,135525,12973,,,,,
MGB,Sulfa,14.108,13.176,14.855,0.005,0.424,135525,12973,IPTW,0.144,0.091,0.057,True
MGB,ESP,3.904,3.333,4.475,0.0,0.291,113827,15144,,,,,
MGB,ESP,4.25,3.672,4.752,0.005,0.294,113827,15144,IPTW,0.24,0.117,0.181,False
MGB,Amino,3.545,2.076,5.013,0.0,0.749,142622,2199,,,,,
MGB,Amino,7.594,6.225,8.949,0.005,0.746,142622,2199,IPTW,0.121,0.017,0.606,False
Stanford,FQ,16.056,15.081,17.03,0.0,0.497,113099,11035,,,,,
Stanford,FQ,18.672,17.667,19.822,0.005,0.543,113099,11035,IPTW,0.182,0.089,0.302,False
Stanford,Ceph3,8.283,6.419,10.147,0.0,0.951,78984,2111,,,,,
Stanford,Ceph3,10.77,8.622,12.627,0.005,1.03,78984,2111,IPTW,0.059,0.027,0.507,False
Stanford,Carb/CRE,5.248,2.417,8.079,0.0003,1.444,66930,385,,,,,
Stanford,Carb/CRE,8.027,5.144,11.414,0.005,1.627,66930,385,IPTW,0.049,0.013,1.179,False
Stanford,Glyco/VRE,6.482,4.284,8.681,0.0,1.122,23748,903,,,,,
Stanford,Glyco/VRE,8.577,5.821,11.444,0.005,1.326,23748,903,IPTW,0.124,0.037,0.632,False
Stanford,Sulfa,4.048,-1.44,9.536,0.1483,2.8,97995,295,,,,,
Stanford,Sulfa,9.492,4.671,14.623,0.005,2.732,97995,295,IPTW,0.027,0.011,0.9,False
Stanford,ESP,5.574,3.151,7.996,0.0,1.236,81727,622,,,,,
Stanford,ESP,8.438,6.005,10.881,0.005,1.262,81727,622,IPTW,0.055,0.014,1.203,False
Stanford,Amino,7.655,5.169,10.141,0.0,1.268,103104,1134,,,,,
Stanford,Amino,12.294,9.935,14.659,0.005,1.258,103104,1134,IPTW,0.1,0.015,0.856,False
MIMIC,FQ,8.243,7.808,8.679,0.0,0.222,301808,39261,,,,,
MIMIC,FQ,10.453,10.021,10.894,0.005,0.236,301808,39261,IPTW,0.237,0.115,0.36,False
MIMIC,Ceph3,3.393,3.08,3.705,0.0,0.159,301808,37141,,,,,
MIMIC,Ceph3,4.394,4.059,4.685,0.005,0.167,301808,37141,IPTW,0.237,0.108,0.374,False
MIMIC,Carb/CRE,4.495,4.129,4.861,0.0,0.187,301808,16404,,,,,
MIMIC,Carb/CRE,4.284,3.939,4.595,0.005,0.185,301808,16404,IPTW,0.163,0.05,0.527,False
MIMIC,Glyco/VRE,3.18,2.993,3.366,0.0,0.095,301808,68524,,,,,
MIMIC,Glyco/VRE,3.47,3.263,3.669,0.005,0.101,301808,68524,IPTW,0.437,0.166,0.337,False
MIMIC,ESP,3.875,3.483,4.266,0.0,0.2,301808,36320,,,,,
MIMIC,ESP,4.323,3.896,4.772,0.005,0.235,301808,36320,IPTW,0.247,0.104,0.332,False
MIMIC,Amino,6.457,5.647,7.267,0.0,0.413,301808,6346,,,,,
MIMIC,Amino,7.774,6.825,8.746,0.005,0.51,301808,6346,IPTW,0.103,0.023,0.489,False
