cohort,drug_class,n_empiric,total_failures,current_fail_pct,n_exposed,exposed_failures,exposed_fail_pct,unexposed_fail_pct,n_preventable,pct_failures_prevented
MIMIC-IV,FQ,8525,2827,33.2,1666,1031,61.9,26.2,595,21.0
MIMIC-IV,Ceph3,13283,1021,7.7,2958,495,16.7,5.1,344,33.7
MIMIC-IV,Carb,1928,194,10.1,791,123,15.5,6.2,74,38.1
MIMIC-IV,Glyco,9629,1147,11.9,3563,839,23.5,5.1,658,57.4
MIMIC-IV,ESP,4083,1486,36.4,995,532,53.5,30.9,225,15.1
MIMIC-IV,Amino,651,37,5.7,194,16,8.2,4.6,7,18.9
MGB,FQ,5361,2188,40.8,1005,602,59.9,36.4,236,10.8
MGB,Ceph3,25710,1715,6.7,5980,837,14.0,4.5,571,33.3
MGB,Carb,2664,191,7.2,928,98,10.6,5.4,48,25.1
MGB,Glyco,3535,337,9.5,1012,202,20.0,5.4,148,43.9
MGB,ESP,4282,1083,25.3,1013,284,28.0,24.4,36,3.3
MGB,Amino,751,21,2.8,86,3,3.5,2.7,1,4.8
Stanford,FQ,10085,2001,19.8,1673,611,36.5,16.5,335,16.7
Stanford,Ceph3,1402,95,6.8,74,8,10.8,6.6,3,3.2
Stanford,Carb,46,1,2.2,6,0,0.0,2.5,0,0.0
Stanford,Glyco,1171,38,3.2,171,15,8.8,2.3,11,28.9
Stanford,ESP,3834,266,6.9,108,19,17.6,6.6,12,4.5
Stanford,Amino,459,30,6.5,162,14,8.6,5.4,5,16.7
