site,pair,theta_pp,ci_low,ci_high,p
Blood,FQ → FQ Resistance,20.63940656874086,18.993469267175822,22.285343870305894,2.2160520566997294e-133
Blood,Ceph3 → Ceph3 Resistance,5.177511865114016,3.6226113315723714,6.73241239865566,6.741728716435662e-11
Blood,Carb → CRE,1.5110257022381814,0.22777514745785932,2.794276257018504,0.021007213621379372
Blood,Glyco → VRE,3.369368788283101,2.8208090791149147,3.9179284974512876,2.229463837960066e-33
Urine,FQ → FQ Resistance,12.771994859880737,11.90625394335851,13.637735776402963,7.79915450026891e-184
Urine,Ceph3 → Ceph3 Resistance,3.9517770632628206,3.360293240787826,4.543260885737816,3.5277182304735295e-39
Urine,Carb → CRE,0.9727566692618709,0.0635156167356224,1.8819977217881194,0.03600432997393863
Urine,Glyco → VRE,15.62391113847969,14.009062456777865,17.238759820181514,3.451927740023233e-80
Respiratory,FQ → FQ Resistance,14.227947021046946,12.624757591196037,15.831136450897857,9.122673810989282e-68
Respiratory,Ceph3 → Ceph3 Resistance,9.052313879098802,7.460651665720039,10.643976092477567,7.408728679042789e-29
Respiratory,Carb → CRE,12.805963683324972,10.816749360690544,14.7951780059594,1.6876421219543603e-36
Respiratory,Glyco → VRE,0.7610400074469711,0.3701584418390601,1.151921573054882,0.00013562273434641206
