cohort,window_days,t_col,theta_pp,ci_lo,ci_hi,p_val,se,n,n_treated
MGB,30,T_fq_30d,17.054,16.233,17.875,0.0,0.419,145445,15429
MGB,60,T_fq_60d,15.801,15.068,16.535,0.0,0.374,145445,20612
MGB,90,T_fq_90d,15.024,14.331,15.717,0.0,0.354,145445,24096
MGB,180,T_fq_180d,13.259,12.622,13.896,0.0,0.325,145445,31049
MGB,365,T_fq_365d,11.478,10.884,12.073,0.0,0.303,145445,39260
Stanford,30,T_fq_30d,22.364,20.869,23.858,0.0,0.763,113099,4389
Stanford,60,T_fq_60d,18.153,17.026,19.279,0.0,0.575,113099,8034
Stanford,90,T_fq_90d,16.056,15.081,17.03,0.0,0.497,113099,11035
Stanford,180,T_fq_180d,13.735,12.928,14.541,0.0,0.411,113099,16982
Stanford,365,T_fq_365d,11.934,11.232,12.635,0.0,0.358,113099,23979
MIMIC,30,T_fq_30d,7.547,6.997,8.096,0.0,0.28,255742,24630
MIMIC,60,T_fq_60d,8.793,8.292,9.294,0.0,0.255,255742,31473
MIMIC,90,T_fq_90d,8.974,8.499,9.448,0.0,0.242,255742,35871
MIMIC,180,T_fq_180d,9.391,8.951,9.83,0.0,0.224,255742,43450
MIMIC,365,T_fq_365d,9.428,9.018,9.839,0.0,0.209,255742,51683
